ipo_id,company_name,nse_symbol,exchange,segment,open_date,close_date,listing_date,issue_price,price_band_low,price_band_high,lot_size,issue_size_cr,fresh_issue_cr,ofs_cr,retail_quota_pct,qib_quota_pct,nii_quota_pct,subscription_qib_x,subscription_nii_x,subscription_retail_x,subscription_total_x,listing_open_price,listing_open_quality,listing_return_pct,source,source_url,scraped_at
1,Apollo Micro Systems Ltd.,APOLLO,NSE,MAINBOARD,,,2018-01-22,275.0,,,,156.0,,,,,,42.09,963.53,39.04,176.42,465.0,PRIMARY_VERIFIED,69.09,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
2,Newgen Software Technologies Ltd.,NEWGEN,NSE,MAINBOARD,,,2018-01-29,245.0,,,,424.62,,,,,,6.92,5.38,4.93,5.99,254.1,PRIMARY_VERIFIED,3.71,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
3,Amber Enterprises India Ltd.,AMBER,NSE,MAINBOARD,,,2018-01-30,859.0,,,,599.6,,,,,,68.59,518.3,11.09,115.1,1175.0,PRIMARY_VERIFIED,36.79,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
4,Galaxy Surfactants Ltd.,GALAXYSURF,NSE,MAINBOARD,,,2018-02-08,1480.0,,,,937.09,,,,,,22.35,6.63,5.7,14.17,1525.0,PRIMARY_VERIFIED,3.04,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
5,Aster DM Healthcare Ltd.,ASTERDM,NSE,MAINBOARD,,,2018-02-26,190.0,,,,980.14,,,,,,1.36,0.7,1.11,1.17,183.0,PRIMARY_VERIFIED,-3.68,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
6,H.G.Infra Engineering Ltd.,HGINFRA,NSE,MAINBOARD,,,2018-03-09,270.0,,,,462.0,,,,,,3.96,4.64,2.95,3.71,270.0,PRIMARY_VERIFIED,0.0,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
7,Bharat Dynamics Ltd.,BDL,NSE,MAINBOARD,,,2018-03-23,428.0,,,,952.25,,,,,,1.5,0.44,1.33,1.26,370.0,PRIMARY_VERIFIED,-13.55,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
8,Bandhan Bank Ltd.,BANDHANBNK,NSE,MAINBOARD,,,2018-03-27,375.0,,,,4473.02,,,,,,16.08,13.81,1.14,10.51,499.0,PRIMARY_VERIFIED,33.07,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
9,Hindustan Aeronautics Ltd.,HAL,NSE,MAINBOARD,,,2018-03-28,1215.0,,,,4063.31,,,,,,1.74,0.03,0.36,0.98,1152.0,PRIMARY_VERIFIED,-5.19,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
10,Karda Constructions Ltd.,DHARAN,NSE,MAINBOARD,,,2018-04-02,180.0,,,,77.4,,,,,,1.55,0.49,1.89,1.3,136.0,SECONDARY_VERIFIED,-24.44,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
11,Sandhar Technologies Ltd.,SANDHAR,NSE,MAINBOARD,,,2018-04-02,332.0,,,,512.48,,,,,,6.43,6.18,1.3,4.59,346.1,PRIMARY_VERIFIED,4.25,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
12,ICICI Securities Ltd.,ISEC,NSE,MAINBOARD,,,2018-04-04,520.0,,,,3480.12,,,,,,1.0,0.92,0.95,0.95,435.0,PRIMARY_VERIFIED,-16.35,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
13,Mishra Dhatu Nigam Ltd.,MIDHANI,NSE,MAINBOARD,,,2018-04-04,90.0,,,,435.02,,,,,,1.96,0.11,0.66,1.19,87.0,PRIMARY_VERIFIED,-3.33,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
14,Lemon Tree Hotels Ltd.,LEMONTREE,NSE,MAINBOARD,,,2018-04-09,56.0,,,,1038.68,,,,,,2.18,0.11,0.1,1.14,61.6,PRIMARY_VERIFIED,10.0,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
15,IndoStar Capital Finance Ltd.,INDOSTAR,NSE,MAINBOARD,,,2018-05-21,572.0,,,,1844.0,,,,,,6.75,7.85,1.4,5.04,600.0,PRIMARY_VERIFIED,4.9,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
16,Fine Organic Industries Ltd.,FINEORG,NSE,MAINBOARD,,,2018-07-02,783.0,,,,600.17,,,,,,6.46,18.75,1.51,6.57,815.0,PRIMARY_VERIFIED,4.09,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
17,RITES Ltd.,RITES,NSE,MAINBOARD,,,2018-07-02,185.0,,,,460.51,,,,,,71.97,192.55,14.87,66.77,190.0,PRIMARY_VERIFIED,2.7,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
18,Varroc Engineering Ltd.,VARROC,NSE,MAINBOARD,,,2018-07-06,967.0,,,,1955.18,,,,,,4.27,1.51,0.87,2.65,1015.0,PRIMARY_VERIFIED,4.96,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
19,TCNS Clothing Co.Ltd.,TCNSBRANDS,NSE,MAINBOARD,,,2018-07-30,716.0,,,,1125.13,,,,,,6.09,4.89,0.53,3.96,716.0,PRIMARY_VERIFIED,0.0,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
20,HDFC Asset Management Co.Ltd.,HDFCAMC,NSE,MAINBOARD,,,2018-08-06,1100.0,,,,2800.33,,,,,,77.51,194.39,6.22,61.39,1726.25,PRIMARY_VERIFIED,56.93,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
21,CreditAccess Grameen Ltd.,CREDITACC,NSE,MAINBOARD,,,2018-08-23,422.0,,,,1131.19,,,,,,2.88,0.37,0.75,1.76,390.0,PRIMARY_VERIFIED,-7.58,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
22,IRCON International Ltd.,IRCON,NSE,MAINBOARD,,,2018-09-28,475.0,,,,466.93,,,,,,12.28,3.73,9.46,9.52,412.0,PRIMARY_VERIFIED,-13.26,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
23,Aavas Financiers Ltd.,AAVAS,NSE,MAINBOARD,,,2018-10-08,821.0,,,,1640.32,,,,,,1.76,0.14,0.2,0.97,750.0,PRIMARY_VERIFIED,-8.65,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
24,Garden Reach Shipbuilders & Engineers Ltd.,GRSE,NSE,MAINBOARD,,,2018-10-10,118.0,,,,343.59,,,,,,1.81,0.3,0.21,1.01,102.5,PRIMARY_VERIFIED,-13.14,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2018,2026-09-04T06:29:47.031230+00:00
25,Xelpmoc Design & Tech Ltd.,XELPMOC,NSE,MAINBOARD,,,2019-02-04,66.0,,,,23.0,,,,,,1.68,8.21,2.31,2.72,57.0,PRIMARY_VERIFIED,-13.64,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
26,Chalet Hotels Ltd.,CHALET,NSE,MAINBOARD,,,2019-02-07,280.0,,,,1641.18,,,,,,2.51,0.99,0.02,1.41,294.0,PRIMARY_VERIFIED,5.0,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
27,MSTC Ltd.,MSTCLTD,NSE,MAINBOARD,,,2019-03-29,120.0,,,,211.04,,,,,,1.13,1.69,2.65,1.36,115.0,PRIMARY_VERIFIED,-4.17,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
28,Embassy Office Parks,EMBASSY,NSE,MAINBOARD,,,2019-04-01,300.0,,,,4750.0,,,,,,1.48,2.94,,1.69,308.0,SECONDARY_VERIFIED,2.67,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
29,Rail Vikas Nigam Ltd.,RVNL,NSE,MAINBOARD,,,2019-04-11,19.0,,,,476.86,,,,,,1.36,0.67,2.64,1.7,19.0,PRIMARY_VERIFIED,0.0,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
30,Metropolis Healthcare Ltd.,METROPOLIS,NSE,MAINBOARD,,,2019-04-15,880.0,,,,1204.29,,,,,,4.19,2.75,2.05,3.68,958.0,PRIMARY_VERIFIED,8.86,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
31,Polycab India Ltd.,POLYCAB,NSE,MAINBOARD,,,2019-04-16,538.0,,,,1345.26,,,,,,37.88,108.64,4.36,36.51,633.0,PRIMARY_VERIFIED,17.66,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
32,Neogen Chemicals Ltd.,NEOGEN,NSE,MAINBOARD,,,2019-05-08,215.0,,,,132.35,,,,,,12.94,114.06,15.38,28.96,251.0,PRIMARY_VERIFIED,16.74,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
33,Barak Valley Cements Ltd.,,NSE,MAINBOARD,,,2019-07-01,42.0,,,,23.77,,,,,,24.17,21.63,38.65,28.3,62.6,SECONDARY_VERIFIED,49.05,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
34,IndiaMART InterMESH Ltd.,INDIAMART,NSE,MAINBOARD,,,2019-07-04,973.0,,,,475.49,,,,,,12.95,62.08,13.15,20.31,1180.0,PRIMARY_VERIFIED,21.27,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
35,Affle (India) Ltd.,AFFLE,NSE,MAINBOARD,,,2019-08-08,745.0,,,,459.0,,,,,,22.57,198.34,10.23,47.7,926.0,PRIMARY_VERIFIED,24.3,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
36,Spandana Sphoorty Financial Ltd.,SPANDANA,NSE,MAINBOARD,,,2019-08-19,856.0,,,,1189.85,,,,,,1.89,0.49,0.09,1.05,825.0,PRIMARY_VERIFIED,-3.62,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
37,Sterling & Wilson Solar Ltd.,SWSOLAR,NSE,MAINBOARD,,,2019-08-20,780.0,,,,2849.64,,,,,,1.0,0.94,0.93,0.99,706.0,PRIMARY_VERIFIED,-9.49,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
38,Indian Railway Catering & Tourism Corp.Ltd.,IRCTC,NSE,MAINBOARD,,,2019-10-14,320.0,,,,637.97,,,,,,105.55,351.03,13.28,109.21,626.0,PRIMARY_VERIFIED,95.62,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
39,Vishwaraj Sugar Industries Ltd.,VISHWARAJ,NSE,MAINBOARD,,,2019-10-15,60.0,,,,60.0,,,,,,1.0,1.75,0.59,1.09,61.2,PRIMARY_VERIFIED,2.0,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
40,Precision Pipes & Profiles Co.Ltd.,,NSE,MAINBOARD,,,2019-12-02,150.0,,,,75.0,,,,,,5.39,8.26,19.02,10.59,165.0,SECONDARY_VERIFIED,10.0,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
41,CSB Bank Ltd.,CSBBANK,NSE,MAINBOARD,,,2019-12-04,195.0,,,,409.68,,,,,,25.52,164.27,40.98,47.88,275.0,PRIMARY_VERIFIED,41.03,CHITTORGARH,https://www.chittorgarh.com/ipo/ipo_perf_tracker.asp?year=2019,2026-09-04T06:29:49.152263+00:00
